   374	t	315
   375	anyone	312
   376	turn	312
   377	white	311
   378	may	310
   379	yet	310
   380	c	309
   381	wake	308
   382	walk	308
   383	meet	307
   384	picture	307
   385	since	307
   386	hour	306
   387	cont	305
   388	bring	304
   389	done	302
   390	sometimes	302
   391	stupid	301
   392	dnt	300
   393	e	300
   394	news	300
   395	without	299
   396	everybody	298
   397	lie	298
   398	place	298
   399	bore	297
   400	sex	297
   401	sound	297
   402	st	296
   403	send	295
   404	open	294
   405	suck	294
   406	cry	292
   407	oomf	292
   408	wtf	292
   409	facebook	289
   410	brother	288
   411	fall	288
   412	team	288
   413	em	287
   414	lmfao	287
   415	pic	287
   416	y	287
   417	was	285
   418	enough	283
   419	hand	282
   420	stuff	279
   421	wonder	279
   422	did	278
   423	wo	278
   424	actually	277
   425	eye	277
   426	somebody	277
   427	part	274
   428	idk	272
   429	summer	272
   430	enjoy	271
   431	goin	270
   432	city	269
   433	laugh	266
   434	amaze	265
   435	both	264
   436	club	264
   437	sweet	263
   438	through	262
   439	ufc	262
   440	wat	262
   441	weekend	260
   442	until	259
   443	beat	258
   444	early	258
   445	k	257
   446	short	256
   447	whole	255
   448	finally	253
   449	super	251
   450	xd	249
   451	dad	247
   452	single	246
   453	dance	245
   454	such	241
   455	full	240
   456	hi	240
   457	trust	240
   458	once	239
   459	welcome	238
   460	ass	237
   461	rock	237
   462	dead	236
   463	lls	236
   464	sister	235
   465	ah	233
   466	saturday	233
   467	oo	232
   468	close	231
   469	el	231
   470	others	231
   471	plan	231
   472	seriously	231
   473	speech	231
   474	learn	230
   475	swear	230
   476	tv	230
   477	together	229
   478	anymore	228
   479	boo	228
   480	favorite	228
   481	hold	228
   482	red	228
   483	tryna	228
   484	ugh	227
   485	problem	226
   486	yourself	226
   487	cut	225
   488	number	225
   489	respect	225
   490	drive	224
   491	justin	224
   492	mine	224
   493	sexy	224
   494	gone	223
   495	concert	222
   496	also	221
   497	chill	221
   498	light	221
   499	point	220
   500	sad	220
   501	almost	219
   502	en	218
   503	few	217
   504	voice	217
   505	nobody	216
   506	things	216
   507	alone	215
   508	matter	215
   509	dear	214
   510	kinda	214
   511	kno	214
   512	minute	214
   513	far	212
   514	tire	212
   515	awkward	211
   516	idea	211
   517	book	210
   518	mention	210
   519	write	210
   520	drunk	209
   521	fucking	209
   522	act	208
   523	imma	208
   524	perfect	208
   525	shut	208
   526	which	207
   527	story	205
   528	af	204
   529	forever	204
   530	understand	204
   531	young	204
   532	realize	203
   533	replacemovietitlewithshorts	203
   534	rip	203
   535	deion	201
   536	relationship	201
   537	sit	201
   538	answer	199
   539	bit	199
   540	dick	199
   541	pay	199
   542	bet	197
   543	line	197
   544	second	197
   545	save	195
   546	dinner	194
   547	body	193
   548	seem	193
   549	shower	193
   550	damnitstrue	191
   551	probably	191
   552	sign	191
   553	fb	190
   554	glad	190
   555	photoset	190
   556	going	189
   557	retweet	189
   558	sick	189
   559	stand	189
   560	fast	187
   561	fuckin	187
   562	rest	187
   563	shop	187
   564	ball	186
   565	didnt	186
   566	planet	186
   567	g	185
   568	had	185
   569	men	185
   570	tottenham	185
   571	ugly	184
   572	teamfollowback	183
   573	date	181
   574	finish	181
   575	bright	180
   576	either	180
   577	girls	180
   578	hang	180
   579	shannon	180
   580	till	180
   581	church	179
   582	easy	179
   583	gay	179
   584	past	179
   585	whats	179
   586	hall	178
   587	kiss	178
   588	sooo	178
   589	fire	177
   590	pick	177
   591	water	177
   592	online	176
   593	month	175
   594	question	175
   595	fat	174
   596	soo	174
   597	shirt	173
   598	smoke	173
   599	tired	173
   600	catch	172
   601	side	172
   602	son	172
   603	star	172
   604	business	171
   605	feeling	171
   606	fake	170
   607	joke	169
   608	pm	169
   609	weird	169
   610	better	168
   611	cousin	168
   612	dog	168
   613	grow	168
   614	ice	168
   615	least	168
   616	sing	168
   617	dis	167
   618	dumb	167
   619	speak	167
   620	half	166
   621	shorts	166
   622	fine	165
   623	monday	165
   624	street	165
   625	friends	164
   626	album	163
   627	america	163
   628	com	163
   629	crash	163
   630	female	163
   631	future	163
   632	serious	163
   633	support	163
   634	type	163
   635	f	162
   636	mama	162
   637	sharpe	162
   638	bday	161
   639	dm	161
   640	swag	161
   641	ma	160
   642	add	159
   643	nite	159
